to speak,говори́ть
to read,чита́ть
to write,писать
to watch,смотре́ть
to understand,понима́ть
to live,жить
to love,любить
to want (I want),хотеть (я хочу)
to do,делать
to learn,учить
to walk,гулять
to work,работать
to listen,слушать
to know,знать
to repeat,Повторя́ть
to think,дУмать
to sleep,спать (я сплю, ты спишь, лини спят)
to drink,пить
to cook,готовить
to buy,покупать
to do,выполнять
to visit, to attend,посещать
to check,проверять
to answer; to reply,отвечать
to study; to learn,изучать
to go; to walk,идти
to go; to walk (regular actions),ходить
to order,заказать
to run,бе́гать
to get up,встать
to have a shower,Принимáть душ (я принимаю душ, ты принимаешь душ)
to wash (one's hands and face), to rinse,Умывáться (я умываюсь, ты умываешься)
to brush one's teeth,Чистить зубы (я чищу зубы, ты чистишь зубы)
to get dressed,Одевáться ( я одева́юсь, ты одева́ешься)
to swim,плавать
to sing,петь
I went to the supermarket,Я ходил в супермаркет
to type; to print,печа́тать
She travels,она путешествует
a project,прое́кт
to ski,кататься на лыжах
to skate,кататься на коньках
I'm skiing,я катаюсь на лы́жах
I'm skating,я катаюсь на конька́х
to adore (more than love),обожа́ть
to collect,собирать, коллекционировать
,
